Date,Open,High,Low,Close,Adj Close,Volume
12/9/2010,27.25,28.110001,26.99,27.92,25.580109,10609700
12/10/2010,27.4,27.719999,27.059999,27.41,25.112854,1206800
12/13/2010,27.5,27.719999,27,27.4,25.103693,473200
12/14/2010,27.700001,27.969999,27.02,27.309999,25.021236,358200
12/15/2010,27.200001,27.700001,27.190001,27.450001,25.149504,242200
12/16/2010,27.6,27.65,27.209999,27.65,25.332747,260000
12/17/2010,27.549999,28.059999,27.5,28.059999,25.708376,69800
12/20/2010,28.1,28.42,27.84,28.139999,25.781675,65900
12/21/2010,28.17,29.040001,28.01,28.91,26.487148,210200
12/22/2010,29,30.52,28.959999,29.450001,26.981884,103000
12/23/2010,29.68,29.68,28.889999,29.1,26.661228,66100
12/27/2010,29.15,29.360001,28.870001,28.98,26.551279,29800
12/28/2010,28.99,29.129999,28.809999,29.049999,26.615408,90200
12/29/2010,29.25,29.25,28.84,29.08,26.642893,85300
12/30/2010,29.23,29.950001,28.610001,28.959999,26.532951,149800
12/31/2010,29,29.120001,28.83,29.120001,26.679546,68800
1/3/2011,29.5,29.51,28.74,28.98,26.551279,230900
1/4/2011,29.23,29.23,28.5,28.530001,26.13899,56500
1/5/2011,28.68,28.9,28.299999,28.41,26.029047,178700
1/6/2011,28.610001,29.209999,28.530001,29,26.569601,218600
1/7/2011,31.040001,31.200001,30.15,30.540001,27.980543,2144000
1/10/2011,30.889999,31.33,30.82,30.93,28.337852,621700
1/11/2011,31.200001,31.24,30.41,30.58,28.017185,330800
1/12/2011,30.780001,30.9,30.209999,30.299999,27.760656,216500
1/13/2011,30.379999,30.76,30.299999,30.51,27.953054,132800
1/14/2011,30.67,31.35,30.59,31.35,28.72266,269100
1/18/2011,31.35,31.469999,30.35,30.889999,28.301214,49400
1/19/2011,30.67,30.83,30.41,30.52,27.962217,300200
1/20/2011,30.299999,31.09,29.98,30.6,28.035507,155300
1/21/2011,30.709999,30.709999,29.99,30.219999,27.687361,152300
1/24/2011,30.18,30.440001,29.799999,30.299999,27.760656,85000
1/25/2011,30.209999,30.32,30,30.32,27.778978,54100
1/26/2011,30.27,30.440001,30.07,30.35,27.806465,62600
1/27/2011,30.709999,31,30.290001,30.309999,27.769815,168400
1/28/2011,30.190001,30.200001,29.299999,29.719999,27.229265,311600
1/31/2011,29.780001,29.780001,29.559999,29.73,27.238422,57400
2/1/2011,29.75,29.860001,29.219999,29.280001,26.826141,197800
2/2/2011,29.129999,29.49,29.049999,29.120001,26.679546,100500
2/3/2011,29.09,29.299999,28.879999,28.9,26.47798,169600
2/4/2011,28.889999,29.219999,28.6,29.200001,26.752844,146300
2/7/2011,29.74,29.74,29.450001,29.5,27.027699,148300
2/8/2011,29.67,29.889999,29.200001,29.84,27.339214,107300
2/9/2011,29.620001,29.75,29.4,29.459999,26.991055,35800
2/10/2011,29.26,29.42,28.58,29.25,26.798656,197400
2/11/2011,29.200001,29.370001,28.84,29.129999,26.688704,91600
2/14/2011,29,29.1,28.66,28.83,26.413849,75900
2/15/2011,28.799999,29.15,28.799999,29.040001,26.606251,59800
2/16/2011,29.030001,29.139999,28.799999,29.139999,26.69787,75800
2/17/2011,29.15,29.33,28.98,29.02,26.587925,49700
2/18/2011,29.02,29.76,29,29.76,27.265907,59100
2/22/2011,29.5,29.709999,29,29.209999,26.762003,146200
2/23/2011,29,29.6,29,29.059999,26.624575,158500
2/24/2011,29.08,29.42,29.02,29.1,26.661228,102300
2/25/2011,29.120001,29.879999,29.120001,29.299999,26.844458,99600
2/28/2011,29.34,29.879999,29.200001,29.25,26.798656,182900
3/1/2011,29.4,29.459999,28.950001,29.059999,26.624575,133100
3/2/2011,29,29.08,28.5,28.74,26.331394,177600
3/3/2011,28.58,29.1,28.58,29.08,26.642893,101500
3/4/2011,29.1,29.219999,28.700001,28.799999,26.386368,119400
3/7/2011,28.92,28.92,27.959999,28,25.653406,183800
3/8/2011,28,28.870001,27.93,28.74,26.331394,263200
3/9/2011,28.629999,29.030001,28.24,28.9,26.47798,147700
3/10/2011,28.66,28.75,28.16,28.5,26.111504,134100
3/11/2011,28.02,28.43,27.76,28.280001,25.909943,143200
3/14/2011,27.98,28.290001,27.9,28.18,25.818321,119100
3/15/2011,27.709999,29.25,27.6,29.07,26.633736,278700
